date,county,state,cases,deaths,stay_at_home_announced,stay_at_home_effective,lat,lon,total_population,area_sqmi,population_density_per_sqmi,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,percent_uninsured,percent_unemployed_CHR,violent_crime_rate,percent_drive_alone_to_work,life_expectancy,percent_65_and_over,per_capita_income,percent_below_poverty,date_stay_at_home_announced,date_stay_at_home_effective,,,normalized data
3/8/2020,Suffolk,New York,1,0,no,no,40.86546056,-72.85272469,0.176487814,0.275563347,0.058440051,0.074876673,0.100515464,0.259146341,0.055968807,0.199583453,0.077805548,0.127838908,0.628454721,0.041963878,0.102172823,0.346449598,0.101941748,3/20/2020,3/22/2020,,,
3/8/2020,Ulster,New York,1,0,no,no,41.88814953,-74.25855891,0.020776272,0.354869059,0.005622545,0.24046057,0.198453608,0.158536585,0.047807792,0.360436922,0.083699534,0.212118277,0.601153423,0.031685677,0.195513129,0.20589531,0.378640777,3/20/2020,3/22/2020,,,
3/8/2020,Westchester,New York,81,0,no,no,41.16241857,-73.75605732,0.113984453,0.095947119,0.080107274,0.007817616,0,0.167682927,0.026977584,0.376315364,0.083229014,0.291124054,0.374043146,0.075855821,0.108256439,0.569906684,0.223300971,3/20/2020,3/22/2020,,,
3/9/2020,Nassau,New York,17,0,no,no,40.73280388,-73.58640866,0.15978613,0.041563463,0.169620175,0,0.074742268,0.216463415,0.045799761,0.185367856,0.031676508,0.161021484,0.501408139,0.068391252,0.130967825,0.461972846,0.038834951,3/20/2020,3/22/2020,,,
3/9/2020,New York City,New York,20,0,no,no,40.66,-73.94,0.999444928,0.047779707,0.999902564,0.115944719,0.021044565,0.26816538,0.100188963,0.450737079,0.091869734,0.918101019,0,0.072591181,0.059212873,0.252743303,0.73202025,3/20/2020,3/22/2020,,,
3/9/2020,Rockland,New York,4,0,no,no,41.15238484,-74.02405399,0.037573442,0,0.066171998,0.05026607,0.06443299,0.280487805,0,0.26158672,0.060647011,0.123291586,0.524445297,0.07178577,0.064702095,0.281929593,0.451456311,3/20/2020,3/22/2020,,,
3/9/2020,Saratoga,New York,2,0,no,no,43.10738859,-73.8638993,0.026026119,0.237583135,0.009795502,0.190908302,0.134020619,0.137195122,0.170321934,0,0.029264754,0.091613943,0.66951726,0.045817494,0.142699721,0.3224999,0.058252427,3/20/2020,3/22/2020,,,
3/9/2020,Suffolk,New York,1,0,no,no,40.86546056,-72.85272469,0.176487814,0.275563347,0.058440051,0.074876673,0.100515464,0.259146341,0.055968807,0.199583453,0.077805548,0.127838908,0.628454721,0.041963878,0.102172823,0.346449598,0.101941748,3/20/2020,3/22/2020,,,
3/9/2020,Ulster,New York,1,0,no,no,41.88814953,-74.25855891,0.020776272,0.354869059,0.005622545,0.24046057,0.198453608,0.158536585,0.047807792,0.360436922,0.083699534,0.212118277,0.601153423,0.031685677,0.195513129,0.20589531,0.378640777,3/20/2020,3/22/2020,,,
3/9/2020,Westchester,New York,97,0,no,no,41.16241857,-73.75605732,0.113984453,0.095947119,0.080107274,0.007817616,0,0.167682927,0.026977584,0.376315364,0.083229014,0.291124054,0.374043146,0.075855821,0.108256439,0.569906684,0.223300971,3/20/2020,3/22/2020,,,
3/10/2020,Nassau,New York,19,0,no,no,40.73280388,-73.58640866,0.15978613,0.041563463,0.169620175,0,0.074742268,0.216463415,0.045799761,0.185367856,0.031676508,0.161021484,0.501408139,0.068391252,0.130967825,0.461972846,0.038834951,3/20/2020,3/22/2020,,,
3/10/2020,New York City,New York,37,0,no,no,40.66,-73.94,0.999444928,0.047779707,0.999902564,0.115944719,0.021044565,0.26816538,0.100188963,0.450737079,0.091869734,0.918101019,0,0.072591181,0.059212873,0.252743303,0.73202025,3/20/2020,3/22/2020,,,
3/10/2020,Rockland,New York,6,0,no,no,41.15238484,-74.02405399,0.037573442,0,0.066171998,0.05026607,0.06443299,0.280487805,0,0.26158672,0.060647011,0.123291586,0.524445297,0.07178577,0.064702095,0.281929593,0.451456311,3/20/2020,3/22/2020,,,
3/10/2020,Saratoga,New York,2,0,no,no,43.10738859,-73.8638993,0.026026119,0.237583135,0.009795502,0.190908302,0.134020619,0.137195122,0.170321934,0,0.029264754,0.091613943,0.66951726,0.045817494,0.142699721,0.3224999,0.058252427,3/20/2020,3/22/2020,,,
3/10/2020,Suffolk,New York,1,0,no,no,40.86546056,-72.85272469,0.176487814,0.275563347,0.058440051,0.074876673,0.100515464,0.259146341,0.055968807,0.199583453,0.077805548,0.127838908,0.628454721,0.041963878,0.102172823,0.346449598,0.101941748,3/20/2020,3/22/2020,,,
3/10/2020,Ulster,New York,1,0,no,no,41.88814953,-74.25855891,0.020776272,0.354869059,0.005622545,0.24046057,0.198453608,0.158536585,0.047807792,0.360436922,0.083699534,0.212118277,0.601153423,0.031685677,0.195513129,0.20589531,0.378640777,3/20/2020,3/22/2020,,,
3/10/2020,Westchester,New York,107,0,no,no,41.16241857,-73.75605732,0.113984453,0.095947119,0.080107274,0.007817616,0,0.167682927,0.026977584,0.376315364,0.083229014,0.291124054,0.374043146,0.075855821,0.108256439,0.569906684,0.223300971,3/20/2020,3/22/2020,,,
3/11/2020,Monroe,New York,1,0,no,no,43.14645429,-77.69609238,0.087986579,0.18055773,0.040516698,0.209962215,0.224226804,0.228658537,0.103136148,0.107813904,0.137677572,0.469769224,0.646844292,0.032491782,0.114435379,0.174536425,0.470873786,3/20/2020,3/22/2020,,,
3/11/2020,Nassau,New York,28,0,no,no,40.73280388,-73.58640866,0.15978613,0.041563463,0.169620175,0,0.074742268,0.216463415,0.045799761,0.185367856,0.031676508,0.161021484,0.501408139,0.068391252,0.130967825,0.461972846,0.038834951,3/20/2020,3/22/2020,,,
3/11/2020,New York City,New York,52,0,no,no,40.66,-73.94,0.999444928,0.047779707,0.999902564,0.115944719,0.021044565,0.26816538,0.100188963,0.450737079,0.091869734,0.918101019,0,0.072591181,0.059212873,0.252743303,0.73202025,3/20/2020,3/22/2020,,,
3/11/2020,Rockland,New York,6,0,no,no,41.15238484,-74.02405399,0.037573442,0,0.066171998,0.05026607,0.06443299,0.280487805,0,0.26158672,0.060647011,0.123291586,0.524445297,0.07178577,0.064702095,0.281929593,0.451456311,3/20/2020,3/22/2020,,,
3/11/2020,Saratoga,New York,2,0,no,no,43.10738859,-73.8638993,0.026026119,0.237583135,0.009795502,0.190908302,0.134020619,0.137195122,0.170321934,0,0.029264754,0.091613943,0.66951726,0.045817494,0.142699721,0.3224999,0.058252427,3/20/2020,3/22/2020,,,
3/11/2020,Suffolk,New York,6,0,no,no,40.86546056,-72.85272469,0.176487814,0.275563347,0.058440051,0.074876673,0.100515464,0.259146341,0.055968807,0.199583453,0.077805548,0.127838908,0.628454721,0.041963878,0.102172823,0.346449598,0.101941748,3/20/2020,3/22/2020,,,
3/11/2020,Ulster,New York,2,0,no,no,41.88814953,-74.25855891,0.020776272,0.354869059,0.005622545,0.24046057,0.198453608,0.158536585,0.047807792,0.360436922,0.083699534,0.212118277,0.601153423,0.031685677,0.195513129,0.20589531,0.378640777,3/20/2020,3/22/2020,,,
3/11/2020,Westchester,New York,120,0,no,no,41.16241857,-73.75605732,0.113984453,0.095947119,0.080107274,0.007817616,0,0.167682927,0.026977584,0.376315364,0.083229014,0.291124054,0.374043146,0.075855821,0.108256439,0.569906684,0.223300971,3/20/2020,3/22/2020,,,
3/12/2020,Albany,New York,2,0,no,no,42.60018537,-73.97355698,0.035830229,0.130396372,0.020882882,0.176827367,0.170103093,0.192073171,0.115023952,0.074882823,0.052702986,0.506903689,0.584417933,0.034275342,0.105131239,0.24850815,0.373786408,3/20/2020,3/22/2020,,,
3/12/2020,Delaware,New York,1,0,no,no,42.19807776,-74.96647097,0.004937744,0.473641849,0.001050521,0.247155493,0.237113402,0.320121951,0.073496839,0.339358755,0.21985653,0.244544137,0.56995858,0.025340735,0.345981049,0.065581321,0.519417476,3/20/2020,3/22/2020,,,
3/12/2020,Dutchess,New York,1,0,no,no,41.76515512,-73.74286139,0.034413772,0.232222017,0.013152162,0.204048694,0.159793814,0.164634146,0.163636142,0.187247264,0.053642918,0.2624799,0.58408805,0.040717062,0.12508357,0.27279827,0.194174757,3/20/2020,3/22/2020,,,
3/12/2020,Herkimer,New York,1,0,no,no,43.41971842,-74.96252576,0.006955953,0.462091997,0.001506724,0.35306391,0.291237113,0.399390244,0.081140168,0.137844696,0.232523104,0.274687748,0.631492305,0.024860887,0.225730655,0.064079459,0.427184466,3/20/2020,3/22/2020,,,
3/12/2020,Monroe,New York,1,0,no,no,43.14645429,-77.69609238,0.087986579,0.18055773,0.040516698,0.209962215,0.224226804,0.228658537,0.103136148,0.107813904,0.137677572,0.469769224,0.646844292,0.032491782,0.114435379,0.174536425,0.470873786,3/20/2020,3/22/2020,,,
3/12/2020,Nassau,New York,41,0,no,no,40.73280388,-73.58640866,0.15978613,0.041563463,0.169620175,0,0.074742268,0.216463415,0.045799761,0.185367856,0.031676508,0.161021484,0.501408139,0.068391252,0.130967825,0.461972846,0.038834951,3/20/2020,3/22/2020,,,
3/12/2020,New York City,New York,96,0,no,no,40.66,-73.94,0.999444928,0.047779707,0.999902564,0.115944719,0.021044565,0.26816538,0.100188963,0.450737079,0.091869734,0.918101019,0,0.072591181,0.059212873,0.252743303,0.73202025,3/20/2020,3/22/2020,,,
3/12/2020,Orange,New York,1,0,no,no,41.40214154,-74.30554519,0.043907671,0.238448946,0.016403369,0.209458494,0.25,0.304878049,0.068325649,0.225311001,0.088799906,0.33222438,0.567809256,0.035747102,0.01115153,0.196123193,0.359223301,3/20/2020,3/22/2020,,,
3/12/2020,Rockland,New York,7,0,no,no,41.15238484,-74.02405399,0.037573442,0,0.066171998,0.05026607,0.06443299,0.280487805,0,0.26158672,0.060647011,0.123291586,0.524445297,0.07178577,0.064702095,0.281929593,0.451456311,3/20/2020,3/22/2020,,,
3/12/2020,Saratoga,New York,3,0,no,no,43.10738859,-73.8638993,0.026026119,0.237583135,0.009795502,0.190908302,0.134020619,0.137195122,0.170321934,0,0.029264754,0.091613943,0.66951726,0.045817494,0.142699721,0.3224999,0.058252427,3/20/2020,3/22/2020,,,
