geo_type,region,transportation_type,alternative_name,sub-region,country,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020
sub-region,Alabama,driving,,,United States,100,102.9,103.51,109.71,133.97,118.17,89.3,107.34,101.15,100.33,105.53,125.69,122.09,82.45,98.85,101.6,97.95,109.32,129.43,123.78,87.78,100.84,101.5,97.22,105.55,127.88,121.14,91.5,100.76,106.25,106.59,122.67,152.62,136.69,97.66,113.36,108.61,112.41,116.53,148.9,141.79,100.77,109.77,115.64,116.12,125.69,152.84,149.38,104.53,110.73,115.38,110.9,124.09,157.82,158.73,109.85,119.48,119.23,119.83,129.93,143.13,139.87,94.6,101.37,94.06,91.95,91.01,96.05,80.87,56.34,68.01,70.35,74.9,77.58,83.93,73.09,55.39,69.87,65.71,72.21,74.02,81.15,63.88,47.43,66.24,64.79,67.16,74.06,81.02,70.31,38.02,73.6,76.29,80.49,84.27,93.82,83.72,53,85.85,86.77,86.64,77.99,103.96,91.72,71.99,89.64,92.04,85.27,102.2,119.89,110.38,88.34,104.61,106.75,111.02,117.71,124.49,124.61,90.78,102.3333333,113.8866667,125.44,134.74,152.9,146.28,109.82,128.19,133.12,137.13,150.24,174.64,162,124.74,132.84,134.48,134.02,149.39,169.27,168.52,129.4,136.28,133.65,137.76,147.09,167.31,173.86,119.63,134.97,138.03,146.65,160.02,184.52,195.3,142.93,151.97,150.62,154.42,164.12,196.16,212.38,136.44,150.59,147.96,153.65,165.61,191.42,206.53,149.32,154.63,153.16,158.43,179.21,181.52,146.75,143.97,155.4,149.03,152.58,162.78,189,203.87,135.24,152.94,153.35,156.53,163.82,189.05,204.26,142.92,151.62
sub-region,Alaska,driving,,,United States,100,104.69,104.64,110.1,126.32,122.44,91.11,98.78,104.55,104.3,105.26,122.92,116.96,84.2,99.6,99.76,102.31,105.06,122.27,119.04,82.5,101.77,102.76,106.87,113.41,131.27,123.14,94.15,102.66,106.55,105.08,118.67,142.33,130.53,102.35,108.8,106.72,108.95,112.84,131.76,129.62,96.81,111.14,112.51,112.52,119.63,139.78,136.2,97.47,110.28,109.12,111.65,119.5,140.26,134.89,113.42,117.51,118.25,118.97,117.13,123.7,111.58,82.99,90.2,88.9,79.9,79.84,86.61,72.41,63.06,64.78,68.09,64.82,70.73,75.4,65.99,50,64.89,69.1,67.78,65.35,74.18,67.72,55.78,68.91,69.23,70.08,74.71,84.37,80.08,50.31,73.04,78.33,84.12,85.19,96.32,91.52,72.72,85.33,86.93,92.88,94.09,105.86,107.96,86.04,102.82,104.81,108.48,113.43,129.13,124.43,97.39,112.57,118.2,119.8,121.09,140.2,139.71,101.56,112.4166667,123.2733333,134.13,140.25,167.65,161.73,125.47,141.21,145.03,151.61,151.83,182.95,162.82,126.96,124.07,151.78,158.15,164.53,184.01,168.04,128.74,153.27,159.28,161.48,172.12,195.43,187.42,149.9,163.04,165.22,171.96,178.5,206.45,198.81,159.04,176.96,176.38,177.36,183.45,201.59,192.76,145.09,178.04,177.07,185.11,193.95,213.84,211.41,156.12,180.34,193,207.37,220.76,226.97,186.03,173.15,195.23,197.51,191.12,198.96,229.54,212.13,171.82,198.2,207.88,215.51,209.45,231.83,215.26,175.67,195.28
sub-region,Arizona,driving,,,United States,100,104.06,106.9,111.45,129.15,124.63,91.76,102.98,103.8,105,108.99,123.39,118.69,83.08,100.67,105.22,107.72,114.04,129.78,122.68,81.91,102.53,106.31,105.73,111.19,130.39,128.05,90.51,104,106.8,112.99,122.15,143.8,130.54,100.38,112.58,112.31,117.05,121.7,138.9,131.76,104.95,115.16,117.05,117.74,123.17,139.76,144.6,103.5,113.16,116.05,119.27,125.91,144.49,136.64,102.42,116.4,114.82,113.16,110.59,120.62,113.76,85.38,94.73,88.27,75.71,76.44,80.42,70.35,51.77,64.11,63.48,62.87,62.83,68.31,62.77,48.89,59.53,58.64,55.66,57.09,64.52,56.58,44.47,55.74,57.27,57.05,59.81,67.34,58.92,39.08,58.1,60.25,65.15,66.07,74.91,69.2,54.55,66.37,65.41,67.08,70.15,78.6,73.7,57.21,68.56,69.72,71.36,74.91,86.46,82.43,63.34,74.81,77.27,76.81,79.84,92.28,88.21,64.73,72.03666667,79.34333333,86.65,90.42,105.59,102.23,82.71,94.07,96.78,98.76,104.29,122.56,113.6,94.35,91.23,101.33,102.94,105.51,118.85,112.7,89.01,96.6,97.19,100.95,104.35,118.37,114.9,91.71,105.28,105.58,106.65,111.32,125.01,122.7,100.07,107.24,107.74,108.4,111.72,125.29,117.34,88.13,106.28,108.53,107.75,110.85,124.35,116.07,91.99,105.25,105.34,108.09,115.92,113.62,86.82,84.96,101.95,102.29,102.79,105.51,117.02,107.96,86.56,100.22,102.68,104.45,109.67,119.97,112.83,91.34,101.85
sub-region,Arkansas,driving,,,United States,100,102.55,101.93,106.38,124.97,124.45,88.02,103.18,100.14,90.55,101.84,122.27,122.81,82.69,97.97,98.5,98.35,104.2,125.55,121.08,85.56,96.9,98.34,92.08,103.24,122.62,123.14,83.08,99.62,103.37,101.89,119.57,145.81,133.39,97.96,106.32,103.31,106.84,113.83,137.15,136.22,90.93,104.05,111.79,113.3,121.56,150.13,152.21,101.54,109.26,117.42,115.8,127.72,156.65,158.27,107.17,109.99,121.35,114.69,116.86,123.98,113.61,83.41,90.28,89.9,85.06,82.46,93.14,78.79,53.24,73.56,73.12,80.01,84.08,87.19,72.26,66.42,70.48,74.04,78.26,78.26,79.09,65.18,55.58,72.26,74.27,79.33,81.45,90.26,73.49,46.44,78.71,81.44,88.89,93.05,97.37,92.46,61.61,91.16,94.73,79.54,93.89,101,95.99,77.81,90.46,88.94,97.65,105.96,120.41,112.81,82.15,99.62,106.02,109.74,110.77,127.22,121.01,85.59,96.38333333,107.1766667,117.97,124.36,131.67,119.75,99.19,126.2,130.79,135.07,142.68,162.68,155.95,121.08,115.65,130.57,132.47,137.67,166.7,160.26,121.57,136.45,137.45,138.01,148,174.24,169.16,131.24,128.53,144.33,148.48,156.86,183.62,175.73,136.77,148.79,150.18,152.18,160.89,189.79,174.09,123.35,145.55,147.73,157.26,164.76,186.22,180.03,139.26,146.77,155.21,160.06,175.93,185.12,144.27,138.81,156.98,156.39,156.86,158.43,191.43,180.47,138.29,152.42,155.68,158.06,163.97,191.53,181.21,138.92,151.08
sub-region,California,driving,,,United States,100,104.39,109.34,109.36,129.78,122.26,94.19,103.49,107.08,109.41,114.18,128.14,122.28,91.63,101.95,105.89,106.63,110.97,128.51,121.9,84.06,100.77,105.21,108.44,114.26,130.28,125.41,93.45,107.18,111.65,114.05,124.88,150.11,130.03,106.16,111.6,113.94,114.47,120.36,137.45,129.22,103.92,111.7,114.15,115.08,119.27,136.49,131.51,98.24,107.42,115.82,112.66,118.41,133.54,124.57,97.19,103.6,104.83,105.59,103.43,106.77,86.16,66.24,77.57,68.07,63.09,60.53,59.09,49.54,38.73,47.87,47.95,48.01,48.85,53.87,45.24,37.42,47.97,48.72,49.62,49.1,55.49,46.36,35.48,43.85,45.44,46.02,45.78,53.26,50.09,33.83,48.35,51.04,54.19,54.41,60.08,54.76,45.63,54.55,54.87,57.01,59.03,66.53,62.01,51.05,58.46,60.66,61.24,64.44,73.47,68.46,57.11,65.18,67.93,67.97,70.65,82.5,79.74,63.04,66.57333333,70.10666667,73.64,76.73,90.21,86.58,69.9,75.55,80.95,83.81,87.83,102.51,95.55,83.01,79.84,88.59,90.35,92.01,103.48,97.8,78.67,83.71,84.86,90.83,93.75,106.01,102.78,87.27,95.33,98.79,101.4,104.13,118.96,114.95,97.82,102.23,103.92,105.9,109.55,127.41,119.17,92.17,105.77,107.5,109.89,113.03,128.43,122.47,100.07,106.96,110.33,113.85,122.68,123.19,88.98,95.68,107.59,108.32,109.99,113.74,127.42,120.12,101.48,107.79,107.93,109.29,111.91,126.41,119.8,101.23,107.6
sub-region,Colorado,driving,,,United States,100,103.46,105.66,109.36,130.55,121.37,89.84,103.79,99.12,101.85,107.31,124.4,119.05,90.01,94.06,100.08,98.41,106.61,123.48,116.4,85.08,85.85,81.32,99.4,111.29,104.75,119.48,80.31,103.81,110.09,110.41,124.65,144.99,128.72,100.63,107.58,103.31,110.41,118.35,135.04,127.98,87.4,102.7,100.77,108.61,114.51,134.84,126.96,94.51,100.58,110.88,112.17,116,136.61,135.28,99.99,108.5,109.98,111.84,107.94,107.67,98.41,75.88,81.94,71.01,70.73,51.78,58.73,55.57,46.11,55.57,56.2,53.79,44.99,47.2,42.94,36.75,46.52,50.46,50.38,44.42,50.54,48.83,41.54,51.38,52.34,52.63,53.16,60.71,54.8,28.37,42.02,49.71,56.59,44.83,60.96,56.55,48.93,59.37,58.6,61.01,62.72,69.62,66.93,55.48,67.3,67.84,70.94,72.65,85.85,74.45,66.67,73.27,77.64,76.96,80.01,91.78,88.72,67.97,74.90666667,81.84333333,88.78,90.71,104.48,102.79,88.63,97.85,100.85,103.36,108.17,125.92,112.25,84.5,92.59,106.13,107.24,111.89,125.48,115.31,97.42,109.44,109.92,114.53,118.01,134.89,120.2,109.07,116.03,113.46,123.44,128.55,146.58,133.53,117.16,124.64,127.24,130.82,132.31,147.31,144.15,112.15,130,135.25,138.24,142.9,158.96,157.67,133.15,138.42,143.68,146.39,158.02,158.84,120.86,127.56,138.49,140.67,143.93,149.39,170.42,159.46,133.82,140.46,142.2,145.04,149.65,169.72,160.1,138.23,143.85
sub-region,Connecticut,driving,,,United States,100,105.22,108.31,109.35,129.29,99.31,92.46,108.97,103.64,104.64,108.24,127.19,118.06,91.38,95.91,99.36,101.77,107.71,127.19,119.92,86.23,98.65,101.23,101.17,101.88,121.7,124.01,92.74,98.74,102.86,104.57,111.47,141.11,125.78,99.94,114.81,108.16,111.61,114.62,137.07,134.49,105.14,103.36,105.81,111.97,114.15,135.71,135.21,101.92,104.6,109.54,110.82,118.85,133.63,131.02,100.4,107.2,105.29,104.86,100.15,106.42,97.24,72.79,77.84,67.75,69.93,62.74,70.69,63.82,47.94,46.34,54.32,50.94,58.36,66.23,53.21,38.06,50.2,53.02,55.3,53.67,56.79,58.48,45.8,57.29,58.07,54.1,52.59,63.59,63.24,39.65,46.19,64.81,66.02,65.14,72.44,59.87,63.21,64.52,58.43,67.09,67.28,69.62,83.7,50.57,62.11,76.22,73.59,66.68,80.66,91.25,78.02,75.87,83.16,77.63,85.85,88.65,89.4,72.64,79.19,85.74,92.29,98.57,106.99,111.91,86.62,91.73,99.46,106.78,113.5,128.11,100.73,103.3,88.51,110.33,114.33,106.92,121.79,127.51,109.24,109.79,111.43,113.14,126.36,131.11,136.55,115.88,120.73,128.87,129.21,118.48,155.55,147.2,118.77,127.58,136.87,139.63,143.83,165.47,158.33,117.1,137.88,142.72,143.22,154.05,172.32,149.62,125.98,135.61,138.94,144.99,169.43,149.86,129.56,133.54,142.72,141.04,140.17,154.21,148.82,157.26,141.67,142.14,149.09,149.72,156.58,172.29,172.97,139.86,142.96
sub-region,Delaware,driving,,,United States,100,99.97,102.53,104.41,121.44,100.13,87.43,98.63,97.53,99.23,100.23,120.22,106.07,81.85,93.66,94.39,98.65,101.07,120.47,111.72,81.44,101.1,96.92,98.86,101.58,115.57,114.67,92.84,101.73,103.31,104.76,112.45,140.57,127.95,99.1,115.17,106.39,105.98,109.45,131.99,125.32,94.85,101.14,102.77,107.03,112.35,134.82,130.78,96.71,105.17,108.15,111.82,116.13,135.22,132.63,100.64,109.72,107.44,108.19,105.46,119.07,101.81,77.22,85.09,80.74,78.1,74.71,93.46,66.92,49.88,58.73,57.25,53.96,64.31,71.11,53.78,46.49,60.96,57.44,60.93,62.39,68.05,54.67,45.74,60.03,59.14,63.13,62.31,69.77,61.74,40.66,54.23,67.64,71.12,71.87,78.44,67.01,57.47,69.02,68.38,74.78,74.64,77.74,79.08,54.47,72.03,78.85,80.78,77.1,93.78,90.08,69.78,84.43,87.03,83.46,94.26,104.27,97.59,77.57,85.81666667,94.06333333,102.31,105.98,125.55,114.68,91.28,102.32,108.67,108.51,119.1,128.35,119.33,103.77,100.87,118.01,121.14,120.34,137.51,138.69,112.82,123.4,122.8,130.02,138.67,164.75,166.3,146.78,145.68,155.61,154.42,151.58,190.37,193.64,162.25,154.99,154.18,152.37,159.79,186.11,186.35,146.49,159.79,164.35,170.47,180.72,202.69,209.13,172.48,168.26,165.06,171.22,190.8,196.24,160.52,169.23,167.17,164.48,165.32,170.55,176.46,191.54,153.08,161.7,163.83,165.78,172.71,199.83,206.7,168.11,164.97
sub-region,Florida,driving,,,United States,100,102.25,104.85,108.92,126.69,118.8,89.04,102.53,103.07,101.36,107.03,122.59,117.41,85.26,97.05,100.96,101.79,108.85,125.23,115.1,86.35,101.79,103.39,105.55,111.7,124.22,119.36,91.8,104.87,108.99,113.63,121.7,141.19,128.4,99.36,112.63,113.95,113.83,118.75,132.84,126.69,96.35,107.78,111.31,116.43,121.17,139.23,132.22,100.16,110.05,113.53,117.34,121.91,137.29,135.33,99.37,114.21,115.54,116.13,115.78,123.96,111.1,83.92,91.69,84.54,77.58,74.05,75.3,59.77,44.55,55.2,54.61,54.37,54.09,56.35,47.01,37.27,49.17,49.6,50.45,50.53,50.2,41.96,31.69,45.33,47.16,47.94,49.64,54.42,46.88,31.8,49.15,50.24,53.19,53.06,60.61,52,43.44,54.44,56.36,57.37,58.44,60.98,59.15,45.61,59.74,61.18,62.66,62.59,75.94,69.3,56.08,69.01,72.88,73.4,75.98,86.98,82.67,57,64.91,72.82,80.73,82.75,93.16,90.39,73.44,81.06,87.68,89.41,92.92,110.04,105.04,80.96,75.09,91.33,96.57,97.45,111.08,110.65,83.91,94.14,94.98,94.19,97,113.05,104.44,81.93,98.53,101.99,104.38,108.31,126.06,121.73,94.63,105.9,108.5,109.11,112.28,128,124.83,91.39,108.11,109.7,111.53,115.1,128.17,121.23,94.51,106.51,108.42,110.19,117.76,120.92,95.55,88.03,104.14,105.27,105.64,110.27,123.4,114.28,90.16,104.28,104.56,106.05,109.98,122.33,115.18,92.78,104.27
sub-region,Georgia,driving,,,United States,100,104.66,105.64,112.08,130.73,119.62,91.96,102.47,101.97,102.67,106.62,123.23,122.27,83.75,97.38,104.19,101.5,110.13,125.99,126.66,87.47,101.6,104.08,103.38,103.32,124.8,105.49,93.49,105.57,107.78,110.78,120.74,155.74,136.97,96.4,110.76,109.03,111.16,111.14,136.71,138.1,95.06,103.06,111.9,116.48,124.65,145.94,152.6,104.44,108.88,109.7,111.23,117.4,154.7,150.99,104.91,114.96,112.66,116.84,115.96,127.46,117.83,82.08,88.05,82.08,80.13,81.91,86.96,77.85,52.13,61.12,61.17,67.37,67.57,74.95,66.45,50.51,63.57,58.74,64,65.38,65.32,52.11,43.33,58.34,58.6,59.92,63.68,70.43,63.37,37.93,64.1,66.57,70.23,72.89,81.91,75.84,48.83,73.02,73.36,74.29,66.75,88.4,83.17,64.77,78.51,81.28,77.72,85.82,101.26,98.64,78.72,88.68,92.15,93.28,98.08,104.33,109.5,80.6,88.60333333,96.60666667,104.61,109.28,126.85,125.49,97.7,104.65,113.27,110.2,120.86,141.81,135.62,106.25,102.42,113.08,113.28,122.06,142.33,137.59,106.22,118.3,118.56,121.4,127.93,143.15,145.62,113.49,122.68,126.67,127.46,137.41,157.68,162.35,120.68,127.78,130.33,133.75,141.55,168.98,166.87,117,131.91,131.94,134.92,144.48,167.89,166.84,129.3,135.77,137.53,142.23,156.23,163.15,135.33,124.92,133.4,132.49,137.61,144.33,168.58,164.87,122.29,135.47,137.24,140.85,147.23,168.88,167.39,128.75,137.32
sub-region,Guam,driving,,,United States,100,112.52,114.65,125.74,140.89,125.46,124.23,116.14,120.94,115.99,121.28,136.4,130.14,119.18,120.91,128.25,131.04,131.97,142.38,120.38,136.46,123.82,133.71,118.34,155.36,239.41,204.03,145.97,128.56,134.85,125.68,141.76,161.83,141.2,128.66,129.86,137.7,140.21,124.57,170.11,126.49,112.89,112.02,128.62,124.6,131.23,156.82,120.94,120.69,117.63,115.77,119.7,119.21,144.7,114.41,110.16,114.41,106.01,115.77,119.3,136.68,101.67,91.48,76.86,65.27,55.05,58.02,48.7,41.82,40.68,43.8,43.18,52.97,44.21,44.39,38.63,39.19,39.53,43.77,42.44,44.92,39.71,33.74,42.87,39.03,37.92,40.02,43.06,40.4,32.13,40.71,49.63,48.39,54.8,50.34,52.51,44.39,45.76,51.12,46.75,50.77,43.59,46.41,42.94,46.22,49.63,50.03,52.73,56.04,59.85,47.61,55.61,54.93,57.9,53.19,53.28,60.01,63.07,53.62,58.92,64.22,69.52,69.45,75.46,62.83,62.14,63.66,68.96,64.22,85.87,82.78,73.64,66.6,77.45,76.52,73.23,73.61,89.13,70.66,66.2,78.84,73.27,68.49,80.61,78.9,76.95,85.38,79.62,77.14,72.3,85.47,106.51,91.7,79.18,81.1,79.31,73.3,95.23,99.38,75.19,90.09,81.23,94.14,89.37,90.3,95.57,92.72,80.76,84.29,86.18,84.17,95.57,96.59,79.68,90.09,88.14,81.23,80.73,89.25,108.52,91.29,83.3,82.9,87.45,85.38,97.71,98.67,95.17,91.33,87.33
sub-region,Hawaii,driving,,,United States,100,102.45,108.07,107.52,119.11,119.26,100.47,103.9,105.08,105.37,109.51,114.03,114.08,92.01,99.14,100.55,99.61,106.35,111.46,110.86,82.55,98.52,100.37,101.73,105.01,110.56,115.33,95.47,111.39,102.34,105.83,112.84,130.31,122.54,107.65,107.84,109.6,111.44,111.54,124.09,122.8,102.46,108.47,107.84,108.22,109.39,120.58,118.18,97.3,101.88,102.32,103.07,108.26,122.57,118.58,99.92,103.86,104.66,103.7,103.14,108.83,106.57,88.31,89.04,80.74,75.47,67.67,64.65,53.67,40.3,42.95,35.76,32.74,30.92,33.3,29.09,24.18,30.63,31.39,31.43,30.53,33.42,31.35,24.38,30.05,30.86,30.8,31.27,34.18,29.77,20.43,29.92,30.08,33.12,32.57,36.65,34.2,27.11,32.92,33.01,33.78,33.2,36.38,35.47,28.94,33.98,35.1,35.52,39.36,42.17,41.3,32.18,38.44,39.84,42.13,40.03,46.01,48.93,37.25,39.04,40.83,42.62,44.45,52.97,53.7,45.83,45.48,47.55,48.34,51.42,60.87,61.13,51.42,49.15,50.2,51.54,53.26,62.5,63.1,50.56,53.32,53.92,54.25,55.5,64.58,67.22,52.28,55.36,56.53,56.5,57.25,66.42,67.38,52.48,60.98,63.26,60.81,61.15,69.12,69.93,51.31,59.04,60.56,61.75,63.95,74.38,72.32,58.98,62.42,64.3,66.17,71.06,75.3,59.39,56.58,65.25,63.14,64.44,64.39,70.64,69.74,55.34,61.92,62.48,63.78,65.26,72.54,73.09,58.73,63.44
sub-region,Idaho,driving,,,United States,100,99.75,106.43,109.34,132.6,124.65,82.54,108.31,103.59,107.4,109.86,129.68,126.91,79.81,99.73,103.35,107.34,110.84,132.93,131.66,78.19,101.37,105.8,106.39,110.53,139,131.44,88.52,109.58,112.31,116.49,128.54,153.94,140.08,94.74,121.8,113.53,115.28,125.84,148.6,149.1,95.66,113.61,116.21,117.12,129.78,155.62,150.02,97.61,114.74,115.86,117.97,133.01,157.14,150.43,99.01,115.23,123.16,120.1,124.25,139.85,120.43,80.75,104.4,100.82,99.35,102.51,108.43,96.4,71.12,84.26,82.81,78.8,73.23,80.36,71.65,52.48,69.85,81.19,74.16,74.74,82.3,72.31,53.64,74.49,78.45,82.52,86.27,97.17,81.59,50.95,81.32,83.96,86.36,92.53,106.46,96.42,74.96,96.65,95.9,96.43,99.27,113.18,105.59,82.32,97.17,106.06,108.44,107.7,133.56,120.48,91.82,116.7,118.87,116.62,126.04,145.85,136.89,95.11,105.85,116.59,127.33,132.83,157.56,151.37,113.73,137.58,141.39,139.78,155.87,184.35,165.52,136.73,144.45,159.57,165.16,172.51,196.23,179.61,135.6,163.09,167.96,170.86,181.15,203.59,185.97,136.78,170.74,175.5,183.34,194.8,226.09,205.56,163.6,187.05,182.94,188.47,209.49,246.1,233.06,166.03,203.88,206.67,209.84,224.44,259.15,243.59,184.76,200.8,207.58,222.15,245.29,250.07,189.18,198.84,225,214.5,217.26,230.98,260.98,245.09,193.74,215,214.03,218.7,230.15,257.48,245.01,200.66,217.58
sub-region,Illinois,driving,,,United States,100,103.65,103.89,108.53,126.87,112.45,88.68,101.72,101.67,100.94,103.07,121.44,119.73,86.67,94.56,98.35,99.51,104.9,125.43,124.86,87.42,96.24,98.86,101.67,104.18,119.92,126,89.94,99.95,106.5,107.08,115.23,146.13,139.61,109.95,111.35,105.53,106.8,112.35,134.5,139.75,102.31,101.12,101.45,104.36,115.5,140.27,144.06,107.71,106.76,109.95,112.44,118.13,141.76,147.82,109.11,106.23,110.9,109.1,107.43,121.99,106.44,77.25,82.12,78.3,69.33,67.9,75.5,56.83,37.41,49.54,52.9,56.99,54.43,60.51,52.2,42.88,54.91,55.2,57.41,59.04,66.64,56.18,46.41,56.14,60.82,59.14,60.53,69.07,62.17,40.94,58.37,60.7,65.27,67.21,70.29,72.86,58.04,70.6,69.35,69,70.97,79.51,70.02,63.41,69.93,72.41,69.7,77.56,92.11,91,70.15,76.47,76.07,83.4,87.82,97.49,99.25,69.34,76.61,83.88,91.15,86.18,109.79,102.72,74.1,94.67,96.56,102.94,106.38,122.55,105.82,94.62,87.02,104.67,105.88,107.66,130.06,126.5,100.15,105.89,112.42,111.86,122.34,137.56,138.04,107.73,122.46,115.98,123.07,134.88,150.6,142.35,114.76,127.24,132.14,134.68,141.54,163.54,142.67,110.59,123.7,137.59,140.25,148.71,153.82,158.4,127.54,134.2,143.38,151.43,163.02,161.97,128.2,120.91,140.25,142.32,145.24,149.17,170.55,161.45,130.34,141.9,145.37,140.83,154.8,177.01,165.45,124.51,140.49
sub-region,Indiana,driving,,,United States,100,102.7,103.12,105.52,123.72,112.11,83.59,99.55,98.95,102.09,104.58,122.44,118.33,83.79,93.71,99.09,99.91,103.38,123.9,121.93,84.21,96.15,100.2,101.05,100.79,119.66,121.31,88.3,100.93,105.9,103.43,107.51,136.76,132.04,97.67,107.12,105.53,107.95,116.88,136.12,138.96,96.64,101.04,105.99,102.63,112.77,139.38,142.01,100.62,105.77,115.25,115.47,120.85,140.4,143.6,101.63,105.26,108.99,108.78,107.46,119.34,98.33,75.86,84.88,81.05,74.75,73.49,83.07,66.96,48.35,64.94,64.27,58.93,59.88,64.5,54.69,45.7,61.91,61.4,62.67,67.19,75.34,60.03,48.96,66.46,69.1,71.09,70.88,78.29,68.79,42.44,68.31,72.16,75.17,80.03,79.32,81.02,62.15,84.47,83.49,86.17,81.75,99.41,81.24,67.16,88.01,90.56,84.47,89.93,109.37,103.99,76.92,98.08,93.55,101.63,108.24,115.9,113.76,77.57,89.60666667,101.6433333,113.68,113.99,129.97,126.57,90.57,116.52,118.63,125.93,133.18,158.61,137.85,116.46,111.66,135.46,133.86,137.02,157.44,152.7,113.01,132.26,142.6,136.22,145.42,168.12,163.38,128.06,143.06,139.15,144.09,157.38,177.65,169.46,136.59,149.03,153.52,156.77,165.4,193.06,182.84,126.4,147.76,154.83,161.05,170.83,193.69,180.81,144.13,152.97,158.33,168.22,181.47,183.46,148.32,145.23,161.36,161.43,164.97,174.58,199.06,195.42,148.7,158.62,163.28,165.22,169.28,199.96,197.13,142.58,155.4
sub-region,Iowa,driving,,,United States,100,104.67,98.34,112.88,74.14,85.11,85.68,104.01,104.56,90.28,100.18,121.42,140.12,98.11,99.4,104.99,103.46,112.74,132.92,143.76,97.64,105.72,103.05,103.55,111.1,125.42,140.46,96.27,100.75,107.14,102.62,102.7,143.87,149.58,108.26,106.83,106.09,107.12,118.85,146.89,152.78,109.57,103.37,106.63,110.64,117.71,146.9,160.74,113.48,108.94,115.14,116.17,121.48,151.68,160.21,114.55,108.37,115.28,113.96,116.53,136.98,111.41,86.84,88.59,85.64,76.66,75,84.25,74.51,54.17,68.91,70.45,71.24,72.72,78.62,66.27,56.4,74.6,75.83,76.72,74.78,74.97,72.99,61.76,71.64,81.2,77,77.25,90.7,73.1,42.02,73.92,77.92,81.15,81.9,90,88.56,73.95,87.94,90.89,92.78,97.9,102.14,97.67,83.07,96.04,93.25,94.83,108.58,130.45,110.16,91.19,99.42,98.41,106.85,110.83,132.55,122.86,87.18,95.65333333,104.1266667,112.6,117.78,151.62,129.98,104.61,124.09,132.35,134.88,143.67,164.91,147.33,119.69,117.96,133.28,140.63,144.5,174.5,157.93,127.45,138.03,146.7,148.38,157.5,183.69,177.01,143.53,152.72,139.52,149.27,172.62,200,195.65,156.71,162.61,167.15,169.74,175.64,199.28,196.36,149.27,155.13,172.35,178.2,189.65,214.86,218.54,171.2,174.32,174.78,180.94,200.45,199.23,156.74,157.67,175.35,174.5,178.9,186.35,224.85,216.69,176.65,173.7,169.36,169.86,190.22,220.48,212.55,173,168.29
