geo_type,region,transportation_type,alternative_name,sub-region,country,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020
county,Albany County,driving,,New York,United States,100,103.06,108.62,105.96,129.24,87.45,82.46,104.04,108.69,108.37,115.09,131.9,114.66,84.05,94.25,102.29,102.42,108.24,124.52,112.66,82.74,96.74,106.21,103.22,98.54,112.18,111.27,89.42,98.48,108.66,109.98,115.25,149.38,122.18,98.01,111.32,105.91,114.17,115.94,132.54,119.43,94.13,108.03,109.66,113.57,113.06,137.62,128.15,95.13,104.02,112.09,111.97,118.74,137.03,121.45,93.99,105.52,105.71,105.72,102.73,106.67,84.84,64.1,74.52,64.41,64.44,61.83,66.09,55.37,42.02,41.72,46.68,47.67,52.64,60.68,47.7,36.56,47.64,50.41,52.36,51.18,55.3,53.28,41.04,52.8,54.58,51.62,49.65,58.34,53.49,35.73,47.96,56.61,58.6,59.6,66.17,53.73,53.22,59.81,56.65,58.55,62.91,68.71,70.23,45.56,57.03,65.84,65.66,65.29,76.33,77.79,65.26,67.19,73.99,72.53,75.53,83.01,74.76,60.65,,,83.08,86.56,93.25,92,72.7,81.56,90.25,93.89,99.05,110.47,91.82,77.67,77.66,95.41,100.13,99.43,107.08,106.34,78.83,98.23,93.5,99.65,107.85,115.25,104.71,86.65,105.56,112.93,111.08,116.28,130.35,111.78,93.37,115.01,119.12,121.7,125.75,137.25,116.41,89.07,119.34,125.47,127.46,131.42,146.47,119.83,96.78,121.02,126.21,130.56,139.49,123.8,92.72,98.96,124.16,129.19,128.18,134.59,143.11,126.31,109.31,127.38,131.5,136.71,134.11,148.82,126.56,105.51,129.48
county,Allegany County,driving,,New York,United States,100,95.74,99.12,94.77,128.83,108.65,106.52,114.58,104.67,93.66,108.33,135.54,157.8,105.37,98.84,102.92,98.98,108.93,150.02,165.11,105.14,101.94,100.51,101.8,101.2,104.81,141.69,108.19,103.66,109.21,107.22,102.82,163.95,143.68,118.14,119.48,109.81,135.22,130.96,157.52,172.79,126.01,109.67,111.99,112.08,96.9,156.18,147.76,119.81,112.36,129.94,121.84,124.25,154.6,130.12,118.83,95.28,99.03,97.69,97.04,120.64,117.03,88.29,76.96,73.11,79.18,81.03,81.91,82.23,62.98,51.78,62.29,56.73,76.12,65.94,54.33,55.62,56.04,59.93,74.78,69.46,76.91,75.57,58.95,70.25,71.63,72.28,67.19,66.91,72.65,49.79,55.58,66.45,69.83,72.51,71.54,78.71,70.66,83.25,67.14,74.32,80.1,82.92,107.31,72.19,84.36,80.93,86.26,82.23,102.55,120.36,101.11,86.63,99.17,102.92,99.44,111.2,99.26,74.5,,,126.33,113.37,137.58,151.27,113.33,113.42,132.95,139.75,150.16,161.59,196.53,179.92,150.39,131.14,131.51,133.64,149.84,158.17,131.61,124.53,126.75,132.53,138.08,163.44,181.49,158.45,145.16,135.96,151.87,151.92,175.8,195.19,166.36,158.91,142.39,142.39,147.11,185.93,194.82,162.93,142.39,147.29,157.52,164.92,224.25,200.37,189.68,162.05,172.33,168.35,193.2,238.59,226.19,235.86,175.29,166.13,163.63,175.98,197.83,203.84,197.18,172.1,168.86,183.99,163.21,219.48,241.42,191.76,189.03
county,Bronx County,driving,,New York,United States,100,97.75,101.59,101.51,120.32,92.53,84.71,90.77,100.69,101.24,102.7,120.05,104.21,83.25,97.01,97.36,97.92,100.11,116.77,108.23,82.59,99.87,96.89,98.38,103.55,115.95,110.73,86.47,101.52,103.76,103.42,109.16,133.75,113.52,91.32,96.78,101.35,103.5,104.6,120.31,118.45,93.02,102.99,104.53,108.2,109.89,130.8,123.17,94.41,111.02,106.93,108.9,113.32,128.64,121.1,94.19,108.89,103.64,100.13,95.87,107.15,94.53,71.81,78.25,72.66,71.29,66.68,70.78,56.76,40.68,45.18,49.38,47.51,50.74,57.25,44.53,37.42,48.42,49.1,49.86,49.33,52.93,47.6,40.34,51.02,49.56,48.77,47.97,54.05,50.59,39.68,46.27,54.22,57.49,57.2,62.54,53.85,50.92,59.5,55.3,60.61,59.98,64.64,65.11,47.86,61.23,66.97,63.45,64.34,78.35,79.1,66.47,80.01,75.88,71.58,75.93,77.24,75.98,68.27,,,80.51,82.98,97.62,91.97,73.78,81.3,86.3,86.69,91.39,102.13,84.7,86.25,82.31,93.6,98.41,93.72,104.84,108.64,85.21,91.88,84.58,86.01,95.05,103.01,108.88,95.62,103.88,111.7,109.4,104.02,133.36,125.83,101.46,108.52,115.84,114.32,116.26,141.04,132.39,109.04,119.17,126.82,125.16,129.35,152.8,129.52,112.25,126.77,128.29,129.66,146.79,138.28,131.52,112.2,121.77,126.3,124.66,139.16,131.66,130.25,126.17,127.93,131.92,135.38,137.28,150.49,149.57,122.43,132.8
county,Broome County,driving,,New York,United States,100,101.25,107.33,105.91,130.64,98.48,129.31,134.79,115.8,115.21,118.82,149.9,141.22,107.79,103.19,108.23,112.1,115.56,148.51,139.74,105.23,108.84,107.53,109.16,111.46,103.17,137.22,113.26,108.95,115.12,116.28,126.68,174.62,158.89,128.36,127.47,114.83,121.52,131.76,166.92,166.58,127.77,111.22,120.01,122.39,117.03,161.3,160.33,132.03,114.88,121.55,137.58,129.15,146.34,147.45,142.59,122.95,113.3,120.91,128.63,150.86,132.87,104.77,103.94,102.44,101.75,89.2,96.7,86.7,60.53,54.38,61.34,62.16,66.18,75.22,61.34,50.73,64.09,64.61,71.62,67.78,74.47,69.21,57.97,70.92,69.91,71.41,69.29,73.98,72.66,50.12,66.17,74.04,77.38,79.63,83.44,75.71,69.56,78.73,76.35,80.62,82.59,89.31,94.47,67.99,83.9,90.52,90.97,88.33,106.73,103.97,92.16,92.17,99.23,97.27,107,106.68,101,83.48,,,114.85,112.88,132.35,131.58,108.33,120.54,124.05,128.03,136.71,150.5,128.21,118.16,111.44,135.85,136.33,131.59,144.08,144.24,119.18,133.35,132.71,131.41,143.74,159.59,152.35,128.75,141.31,146.13,145.41,152.21,173.72,161.21,130.01,157.51,153.93,166.38,161.46,185.51,173.47,134.25,161.14,165.37,168.79,171.67,193.81,175.22,156.53,169.41,169.48,173.83,198.42,198.38,145.51,160.67,173.78,168.92,170.11,178.58,191.45,180.22,152.33,170,173.02,175.7,175.55,198.08,186.69,155.12,167.73
county,Cattaraugus County,driving,,New York,United States,100,101.89,99.82,101.08,150.9,142.42,138.32,135.65,102.97,101.18,107.79,145.99,168.82,126.47,95.88,107.49,100.55,110.25,150.94,173.04,116.59,98.82,101.59,100.3,108.36,124.59,157.56,134.38,104.01,104.82,108.53,117.14,168.48,200.9,164.86,145.51,116.24,129.59,137.24,183.53,201.57,142.26,105.48,110.88,107.63,94.88,149.84,159.49,137.3,104.33,105.37,110.55,118.62,138.36,165,136.36,111.18,115.94,106.18,107,125.35,124.38,102.65,87.24,76.75,75.3,79.42,75.28,76.87,61.77,53.23,61.01,63.71,64.91,71.68,58.94,54.12,51.59,62.58,67.14,68.89,73.92,85.81,63.18,71.41,75.9,64.24,65.18,68.78,83.36,49.45,59.47,72.95,71.41,66.2,72.79,88,68.92,81.2,74.54,77.26,75.07,85.46,118.32,65.25,80.25,90,80.99,82.81,97.65,124.08,109.77,80.76,100.12,94.24,104.59,98.09,95.62,80.25,,,108.41,104.15,121.82,146.84,96.22,114.26,122.12,130.12,146.01,142.24,171.68,153.02,135.44,132.26,126.66,127.63,144.54,146.8,130.18,126.59,128.04,127.93,146.06,161.41,171.36,150.62,146.43,140.99,138.62,143.41,173.34,202.6,162.44,149.93,155.32,158.57,158.09,185.83,199.45,158.39,163.09,157.37,167.56,164.1,210.99,209.98,197.26,173.76,181.87,177.74,201.8,239.1,227.97,218.2,190.09,182.63,179.72,188.69,212,214.45,197.7,179.75,193.53,175,173.66,229.54,247.19,209.95,185.07
county,Cayuga County,driving,,New York,United States,100,107.29,105.3,96.34,124.52,100.59,85.84,108.3,101.16,100.28,108.67,132.09,119.27,92.25,87.11,92.01,99.5,102.63,123.82,121.41,76.33,94.27,92.16,92.95,88.37,78,103.28,94.33,95.99,98.51,98.6,99.34,132.31,132.53,102.37,109.66,100.18,106.37,112.85,132.18,131.15,103.59,102.36,107.71,111.47,97.88,129.05,129.44,99.39,101.73,104.77,111.4,108.34,125.44,136.38,109.98,111.17,104.2,110.77,116.15,117.64,113.68,88.92,95.75,76.05,83.95,85.29,84.2,70.01,55.89,49.43,61.01,63.77,69.09,76.79,62.74,56.52,67.38,67.43,76.79,76.07,72.24,78.42,59.2,74.21,79.33,72.96,69.35,74.23,75.48,46.56,64.69,78.24,80.43,72.26,84.83,85.18,72.24,84.96,80.52,79.95,89.05,95.43,120.23,67.27,83.49,99.67,90.02,91.83,107.09,119.27,105.41,88.46,101.8,100.96,106.98,113.31,101.29,84.08,,,122.13,116.59,130.58,155.58,116.15,121.93,132.23,141.88,150.11,176.51,166.22,149.43,144.39,160.57,161.41,150.48,162.56,166.33,130.82,142.43,146.23,146.59,161.73,191.16,187.61,152.34,153.07,168.87,173.66,165.45,197.31,189.87,168.17,166.51,179.2,175.96,185.38,215.74,219,176.73,184.54,185.05,190.48,192.32,236.08,214.64,197.7,195.56,201.31,213,232.18,251.69,225.66,211.38,199.45,197.51,203.13,226.38,252.43,219.26,209.81,191.83,199.01,214.08,188.92,240.7,242.71,215.3,191.16
county,Chautauqua County,driving,,New York,United States,100,102.3,98.09,98.26,128.81,105.6,91.73,114.33,101.38,100,110.24,131.06,130.97,102.54,95.19,99.57,97.6,106.71,137.46,131.75,87.74,101.21,101.12,102.3,98.94,109.87,124.38,106.97,102.63,103.84,109.75,110.8,153.8,170.84,137.72,124.71,112.15,117.7,116.85,147.04,156.26,120.33,107.57,111.55,107.05,86.26,130.79,140.1,130.67,116.11,117.43,114.7,118.04,148.64,146.78,125.27,118.91,120.45,112.05,114.5,138.46,125.67,94.89,101.44,96.98,94.71,90.32,85.83,73.19,59.52,55.8,63.95,70.73,71.28,75.59,62.58,54.08,64.1,65.85,69.86,69.3,74.52,78.53,55.1,72.5,70.1,73.73,67.83,68.35,74.87,42.79,65.87,73.79,75.14,77.84,86.79,83.77,64.29,83.11,74,83.6,82.26,98.55,101.93,67.15,88.85,95.48,90.94,94.19,107.9,110.27,89.09,93.86,98.12,98.21,103.74,118.45,106.64,79.19,,,122.58,116.13,129.56,143.41,104.07,115.86,130.68,135.23,144.85,158.56,156.94,143.76,134.43,150.2,153.17,137.12,153.54,153.79,124.77,139.96,141.14,136.33,155.36,190.29,182.3,156.15,168.5,173.51,174.21,165.78,184.05,192.31,161.82,160.78,171.94,182.43,176.44,224.2,221.89,175.34,176.84,169.21,187.65,203.94,239.14,227.02,222.02,207.9,202.66,219.61,243.11,271.81,239.7,238.11,216.29,203.25,199.61,206.48,240.27,222.13,201.95,194.09,194.71,207.12,198.35,247.53,262.61,205.79,196.28
county,Chemung County,driving,,New York,United States,100,98.82,95.49,100.85,124.42,91.88,87.85,94.84,98.51,107.02,103.04,118.78,107.54,86.68,95.94,98.03,95.5,101.08,120.27,130.55,85.38,93.39,94.42,96.47,89.08,84.8,108.1,89.03,94.89,100.22,104.29,103.15,132.46,121,94.86,105.44,102.18,103.87,104.61,123.06,129.83,96.94,98.34,100.97,105.96,98.98,130.28,135.64,102.92,109.69,109.73,105.83,114.56,127.87,136.54,100.97,107.98,103.5,105.42,105.52,116.24,109.64,78.03,89.25,82.27,78.53,75.77,80.99,68.12,49.67,52.13,57.9,60.08,68.97,73.86,59.53,50.74,59.87,64.62,65.39,64.56,75.03,65.2,55.2,72.54,69.58,72.54,68.23,69.01,69.53,40.61,60.83,70.34,82.29,75.17,89.15,76.13,68.57,76.58,76.18,79.37,86.49,91.99,98.42,68.06,85.5,86.49,92.99,91.02,107.88,101.46,83.73,92.87,94.28,91.99,99.51,110.13,94.8,80.71,,,107.12,109.01,122.13,122.73,94.94,114.2,117.63,122.68,130.13,142.74,120.56,104.4,101.16,124.66,132.21,128.56,151.77,140.11,112.37,123.59,138.65,133.18,144.34,171.94,150.14,117.19,135.53,140.8,157.71,154.04,174.01,165.14,133.59,152.68,152.59,158.78,165.52,181.19,167.85,133.59,152.29,165.11,173.57,180.53,190.88,173.39,156.32,171.85,165.2,177.46,195.33,192.21,141.36,148.07,166.68,170.58,169.94,180.6,194.08,187.98,148.26,175,175.38,180.96,184.23,205.27,192.82,153.39,170.5
county,Chenango County,driving,,New York,United States,100,115.49,126.14,111.81,141.57,99.21,92.86,113.65,110.08,109.82,116.64,127.61,119.32,99.58,108.56,111.02,108.5,108.24,129.24,130.5,86.67,112.13,98.85,104.57,109.66,93.02,130.97,102.41,105.83,114.75,113.65,116.96,146.51,160,125.62,127.14,125.14,118.48,123.99,150.13,146.4,122.83,103.25,114.23,117.48,111.92,145.67,143.88,115.54,115.8,118.16,120.79,120.21,147.98,148.4,122.73,115.12,113.81,115.8,112.86,125.51,117.95,92.91,108.35,98.37,90.45,85.25,87.61,81.52,62.05,66.77,67.09,73.65,78.43,83.04,76.17,53.28,67.56,74.54,74.07,73.54,83.57,73.81,63.73,88.29,84.72,87.82,83.2,86.04,94.07,57.74,75.7,85.67,88.82,93.28,101.36,88.77,83.83,93.54,97.8,86.67,101.42,104.3,109.4,77.95,102.41,103.36,107.45,108.08,122.99,128.24,102.73,113.86,114.12,120.52,121.57,134.38,125.2,106.93,,,139.06,133.96,147.98,164.51,133.39,150.55,140.73,154.07,159.69,183.04,165.09,171.02,135.64,155.38,155.01,150.5,159.84,166.88,136.22,146.67,145.67,147.87,169.66,186.93,180.42,153.96,161.89,165.51,152.97,152.44,194.65,178.48,156.8,170.03,181.26,180.89,197.64,212.23,203.73,168.71,176.59,191.86,184.09,193.12,228.19,207.56,180.73,192.97,193.75,191.92,209.82,228.29,188.71,199.84,203.52,196.54,194.54,207.3,223.31,233.49,191.13,203.25,211.6,225.77,204.62,237.48,246.88,211.86,193.7
county,Clinton County,driving,,New York,United States,100,104.47,106.57,97.7,142.42,123.43,97.41,121.09,108.55,106.5,110.21,135.63,140.34,96.9,108.89,108.13,112.49,110.3,144.07,140.54,102.23,112.33,111.91,109.69,99.24,94.8,126.85,107.64,112.33,118.09,118.76,120.37,163.46,166.18,128.93,142.48,117.71,124.28,134.4,158.32,158.36,125.26,109.47,119.57,117.29,117.69,161.51,167.79,128.17,130.56,135.22,127.83,133.86,151.02,172.84,136.45,118.11,118.25,114.21,129.71,130.24,131.09,84.74,93.63,83.85,84.52,77.37,77.66,73.11,56.02,56.31,66.9,66.88,68.82,75.14,68.6,45.77,59.97,69.15,69.24,63.1,74.38,72.48,54.77,65.71,76.44,61.85,68.28,70.49,64.28,49.52,67.1,80.59,84.99,85.08,86.46,81.82,71.74,84.59,84.48,83.9,86.24,95.67,105.03,73.75,80.99,93.54,95.62,93.3,100.6,113.65,92.72,89.1,98.95,107.17,97.1,113.36,109.65,77.44,,,121.6,120.66,135.83,120.93,106.21,122.38,127.34,135.38,139.8,156.58,144.2,119.37,116.66,126.76,138.62,139.42,145.3,144.18,106.68,132.1,127.61,139.78,146.3,159.5,150.06,129.22,146.3,155.24,158.39,152.16,169.06,162.32,133.75,153.81,174.49,164.37,162.39,181.28,168.68,125.75,155.93,175.54,169,171.14,195.78,181.62,141.81,171.97,165.13,188.41,206.3,193.32,170.85,167.08,172.84,172.66,172.5,180.19,202.5,170.69,151.04,167.43,191.85,189.19,192.2,212.82,203.84,152.85,183.49
county,Columbia County,driving,,New York,United States,100,100.75,103.81,106.99,156.02,116.53,117.81,128.22,101.16,105.38,106.32,129.54,121.22,110.18,98.02,97.39,95.42,102.4,137.56,126.88,104.76,97.97,97.29,98.84,93.13,117.57,127.56,116.71,95.16,102.25,107.12,104.63,171.93,170.81,146.08,151.54,112.26,119.54,126.99,151.44,159.58,129.32,94.59,103.16,104.18,106.79,138.06,147.63,119.75,101.31,106.47,103.16,110.73,146.78,141.54,125.5,110.12,106.24,101.96,105.11,119.92,110.12,92.84,87.44,81.69,86.97,75.77,85.47,79.76,68.06,51.97,59.79,61.54,66.6,72.42,63.21,49.63,60.89,64.07,66.4,66.9,65.75,77.65,58.6,69.2,70.39,68.21,66.63,73.34,75.74,49.01,57.68,75.09,79.2,76.82,80.56,67.07,81.26,75.95,66.22,78.37,78.27,84.01,118.31,64.02,74.59,89.67,89.62,79.21,94.91,116.54,105.28,90.3,99.5,97.44,107.67,104.19,100.52,88.9,,,114.23,111.12,125.18,150.81,117.57,108.05,120.75,123.15,132.05,161.22,144.98,139.37,134.8,133.82,143.65,136.16,142.1,150.21,133.12,132.37,124.45,136.41,145.9,155.32,161.04,153.57,147.11,146.08,145.76,137.99,196.56,197.32,164.95,161.19,160.09,161.22,164.65,202.33,195.14,167.78,172.72,187.39,179.31,183.96,213.3,186.82,182.96,172.66,166.57,183.64,219.19,214.36,208.32,226.06,192.84,181.13,173.62,193.49,201.68,208.67,212.7,185.92,186.14,192.38,194.09,222.68,259.46,232.95,191.68
county,Cortland County,driving,,New York,United States,100,106.85,112.65,107.66,147.89,123.36,132.08,133.21,106.55,112.32,121.67,180.99,193.42,149.75,112.93,123.28,121.45,138.43,185.41,198.56,130.41,124.78,117.81,128.25,126,134.91,198.06,161.18,125.75,129.74,132.63,147.78,219.87,225.53,189.1,175.28,149.03,158.91,176.64,229.16,216.95,173.89,130.24,137.49,140.23,132.38,201.28,202.16,175.39,132.38,138.01,141.4,161.51,212.71,271.28,199.22,141.73,124.45,128.86,158.68,189.71,119.76,91.7,86.6,85.99,84.16,84.38,94.28,91.29,65.4,54.72,63.43,68.81,71.95,72.61,66.79,55.16,60.38,63.29,74.78,71.12,75.31,71.89,56.85,68.26,81.02,66.51,66.79,71.14,73.72,47.14,62.79,78.94,78.47,74.06,82.27,83.44,73.56,82.19,76.5,76.75,77.5,92.87,103.58,62.46,79.33,90.59,87.62,86.49,105.66,111.1,98.78,82.38,98.92,96.95,105.88,118.42,104.44,79,,,107.85,107.13,130.16,142.45,114.12,121.59,129.66,127.72,140.68,153.55,128.44,116.15,110.32,124.36,127.28,126.36,132.94,125.22,114.51,122.7,121.61,120.64,133.82,152.61,150.14,124.78,136.65,139.68,134.43,141.93,160.68,152.5,134.1,146.34,137.82,143.7,154.99,174.06,160.99,130.13,143.4,156.71,160.1,164.51,193.42,174.14,158.41,163.37,155.97,161.46,196.73,208.77,157.8,169.73,177,169.37,171.64,170.5,192.01,196.37,163.76,153.39,162.29,179.33,163.29,197.95,191.43,170.06,165.79
county,Delaware County,driving,,New York,United States,100,113.99,91.25,89.69,121.51,98.14,118.76,116.82,100.22,91.74,94.86,117.12,109.49,96.39,85.23,84.56,83.92,90.88,118.53,119.2,84.85,97.43,84.63,78.27,87.35,99.59,112.5,103.8,86.6,89.84,91.92,90.96,136.92,152.1,137.77,127.28,101.34,100.89,113.92,144.62,133.12,124.75,93,103.46,94.57,87.9,117.19,120.84,119.58,94.34,87.98,96.76,98.36,137.85,123.74,136.84,90.4,96.24,91.55,92.22,120.88,112.77,95.68,81.95,75.47,85.6,76.63,87.01,89.02,69.97,47.75,60.03,57.09,75.59,74.66,68.4,57.05,58.95,56.23,59.25,67.06,64.68,68.92,57.24,66.73,69.37,66.65,60.44,65.91,69.56,54.56,62.34,72.79,71.46,72.35,75.96,66.77,74.51,68.96,73.76,72.35,78.15,78.56,99.29,69.22,71.27,80.83,74.58,84.41,94.23,110.27,104.61,91.59,91.96,90.99,94.31,96.76,93.11,84.44,,,107.15,102.94,128.1,145.22,125.68,113.47,105.84,116.41,126.94,165.72,159.25,162.15,152.44,135.02,130.63,127.91,136.84,145.18,139.64,118.83,110.27,123.63,125.2,151.1,163.6,158.99,134.54,143.13,128.06,134.95,169.41,180.24,169.85,138.22,144.4,145.92,159.84,183.29,185.04,165.28,148.79,146.93,155.49,163.53,203.2,185.86,177.86,153.78,153.48,170.19,209.45,235.06,209.86,250.58,195.05,167.06,166.77,185.11,201.27,207.59,206.96,160.92,170.45,174.4,180.83,216.52,230.22,221.06,174.88
county,Dutchess County,driving,,New York,United States,100,101.72,104.59,107.7,126.86,89.34,98.2,115.05,104.47,103.65,106.2,126.5,120.03,95.45,93.27,97.19,101.25,101.67,120.86,121.27,89.47,97.5,99.47,97.73,98.02,118.43,121.94,94.71,101,102.11,104.4,109.7,134.01,137.47,114.42,117.94,104.51,110.78,112.03,134.82,138.86,109.41,101.47,103.98,105.26,107.22,136.06,141.38,113.63,104.7,105.48,108.54,114.64,129.5,137.12,113.32,108.15,102.92,99.99,100.22,109.49,98.65,76.43,80.06,70.53,76.11,66.86,75.42,67.55,50.93,43.74,55.24,52.78,61.14,65.39,51.19,40.26,51.2,53.22,58.14,54.75,58.87,59,47.83,57.81,59.42,54.5,54.4,64.26,63.06,41.08,51.84,67.27,65.95,65.72,69.43,60.12,65.64,64.19,59.98,69.57,65.02,69.94,83.65,52.57,62.99,77.62,70.1,70.33,80.93,91.96,84.37,73.64,83.33,77.03,86.15,88.29,86.05,73.98,,,97.13,96.46,109.07,112.21,94.94,97.17,109.35,111.83,112.34,127.81,102.41,108.87,96.24,113.55,118.18,115.15,124.16,127.06,109.07,111.25,117.83,113.89,123.63,133.21,137.42,122.03,127.01,128.22,129.72,123.66,151.26,148.29,127.27,128.66,136.31,139.93,141.15,160.32,151.67,118.09,138.12,146.72,145.8,152.5,166.66,147.99,134.58,140.71,142.85,141.83,161.26,152.99,134.28,139.85,143.58,145.24,137.46,152.57,146.92,156.79,147.56,143.72,156.58,152.74,152.56,167.51,175.84,144.61,151.17
county,Erie County,driving,,New York,United States,100,99.58,96.56,98.2,115.86,92.77,68.32,89.97,94.48,96.86,105.37,119.25,111.91,78.01,92.09,96.34,96.57,101.92,120.57,113.42,70.6,91.22,96.16,96.57,100.66,105.38,106.85,80.71,95.48,101.34,103.06,110.14,129.31,115.77,89.65,100.69,100.18,106.34,107.27,123.5,117.08,86.9,96.69,101.37,111,83.24,117.84,121.42,89.25,104.92,107.71,108.38,115.86,125.79,129.27,94.21,103.76,103.26,104.1,102.62,109.75,96.86,64.68,74.06,65.38,63.15,62.87,64.62,52.7,41.03,44.04,48.57,52.66,55.11,62.29,47.96,41.43,46.57,49.62,54.3,55.51,61.31,58.03,45.08,54.12,56.97,54.79,53.33,60.5,60.61,36.32,47.32,56.34,59.68,59.08,65.88,65.82,47.74,64.94,58.92,63.07,63.32,74.76,78.18,50.35,67.47,71.18,70.28,69.22,82.75,81.96,71.8,71.86,79.02,79.07,79.22,86.25,81.77,64.78,,,89.5,87.92,99.79,105.79,76.68,88.99,101.99,108.24,113.06,117.18,106.9,92.23,86.73,109.62,114.95,108.48,113.11,110.52,84.2,107.3,101.01,107.33,120.5,132.25,122.45,100,119.61,127.1,124.32,128.82,140.89,130.6,105.13,125.71,131.34,137.56,140.8,154.17,142.21,101.03,128.79,133.61,142.65,146.28,161.11,140.07,120.01,139.03,146.3,150.45,155.27,152.2,115.04,111.31,140.52,146.09,147.71,152.47,167.01,139.2,122.79,139.21,150.41,150.45,136.83,170.6,157.47,117.51,144.98
county,Essex County,driving,,New York,United States,100,95.26,88.71,91.95,163.51,184.55,166.46,148.89,87.04,90.45,113.38,150.79,157.13,133.08,82.85,87.11,101.57,105.82,147.81,212.27,143.95,89.01,90.48,95.58,97.68,138.58,174.48,181.48,108.87,91.26,105.79,117.8,201.7,252.72,224.57,194.54,139.59,142.05,164.2,199.87,197.25,162.53,99.84,83.74,95.19,104.29,144.99,170.35,160.18,94.86,87.5,96.07,109.78,151.44,167.96,166.72,116.88,101.96,99.87,103.17,125.85,113.68,100.65,65.35,59.13,59.78,53.14,51.87,61.29,47.12,42.57,39.07,41.82,41.43,47.19,50.49,34.33,44.08,38.58,44.47,41.72,42.93,52.03,38.91,46.79,48.59,38.81,41.3,43.95,47.81,38.65,38.19,44.08,51.9,47.28,51.73,61.22,55.07,51.9,46.92,50.95,55.1,66.13,82.92,48.46,46.66,63.58,62.24,53.04,59.29,89.79,69.76,57.04,65.94,70.39,70.75,73.27,71.27,59.46,,,87.34,86.26,86.42,128.89,95.71,85.8,93.06,108.84,119.5,161.81,199.84,191.16,149.48,110.77,111.49,111.49,116.3,144.5,128.89,110.44,116,111.29,127.49,155.82,170.78,170.16,141.52,134.52,131.94,142.8,177.68,208.74,195.09,156.09,163.09,169.4,181.48,215.15,241.16,204.58,184.82,188.32,198.36,206.35,264.63,272.68,237.37,195.88,211.81,225.95,283.34,354.42,330.17,340.22,257.98,258.7,250.85,260.8,283.48,281.61,279.48,239.37,257.33,266.26,292.64,330.63,384.49,353.4,280.86
